kglobalacceld 6.6.3-1.1
kguiaddons 6.24.0-1.1
kholidays 1:6.24.0-2.1
ki18n 6.24.0-2.1
kiconthemes 6.24.0-2.1
kidletime 6.24.0-1.1
kimageannotator 0.7.2-1
kimageformats 6.24.0-2.1
kinfocenter 6.6.3-1.1
kio 6.24.0-2.1
kio-extras 25.12.3-1.1
kio-fuse 5.1.1-1.1
kirigami 6.24.0-1.1
kirigami-addons 1.12.0-1.1
kitemmodels 6.24.0-2.1
kitemviews 6.24.0-2.1
kjobwidgets 6.24.0-2.1
kmenuedit 6.6.3-1.1
kmod 34.2-1
knewstuff 6.24.0-2.1
knighttime 6.6.3-1.1
knotifications 6.24.0-2.1
knotifyconfig 6.24.0-2.1
konsole 25.12.3-1.1
kpackage 6.24.0-2.1
kparts 6.24.0-2.1
kpipewire 6.6.3-1.1
kpty 6.24.0-2.1
kquickcharts 6.24.0-1.1
kquickimageeditor 0.6.1-1.1
krb5 1.21.3-2.1
krdp 6.6.3-1.1
krunner 6.24.0-2.1
kscreen 6.6.3-1.1
kscreenlocker 6.6.3-1.1
kservice 6.24.0-2.1
ksshaskpass 6.6.3-1.1
kstatusnotifieritem 6.24.0-1.1
ksvg 6.24.0-1.1
ksystemstats 6.6.3-1.1
ktexteditor 6.24.0-2.1
ktextwidgets 6.24.0-2.1
kunitconversion 6.24.0-2.1
kuserfeedback 6.24.0-1.1
kwallet 6.24.0-2.1
kwallet-pam 6.6.3-1.1
kwayland 6.6.3-1.1
kwidgetsaddons 6.24.0-2.1
kwin 6.6.3-1.1
kwindowsystem 6.24.0-1.1
kwrited 6.6.3-1.1
kxmlgui 6.24.0-2.1
l-smash 2.14.5-4.1
lame 3.101.r6531-1.1
lapack 3.12.1-2.1
layer-shell-qt 6.6.3-1.1
lcms2 2.18-1.1
ldb 2:4.24.0-1.1
leancrypto 1.6.0-1.1
less 1:692-1.1
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.15.3-1
lib32-alsa-plugins 1.2.12-1
lib32-at-spi2-core 2.58.4-1
lib32-attr 2.5.2-1
lib32-audit 4.1.3-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-cairo 1.18.4-1
lib32-colord 1.4.8-1
lib32-curl 8.19.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.7.5-1
lib32-fontconfig 2:2.17.1-1
lib32-freetype2 2.14.2-1
lib32-fribidi 1.0.16-2
lib32-gcc-libs 15.2.1+r604+g0b99615a8aef-2
lib32-gdk-pixbuf2 2.44.4-1
lib32-gettext 1.0-1
lib32-giflib 5.2.2-1
lib32-glew 2.3.0-2
lib32-glib2 2.86.4-1
lib32-glibc 2.43+r5+g856c426a7534-3
lib32-glu 9.0.3-2
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.12-1
lib32-gst-plugins-base-libs 1.28.1-2
lib32-gstreamer 1.28.1-2
lib32-gtk3 1:3.24.51-1
lib32-harfbuzz 13.2.1-1
lib32-icu 78.3-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-lcms2 2.17-1
lib32-libcap 2.77-1
lib32-libcups 2.4.16-1
lib32-libdatrie 0.2.13-3
lib32-libdisplay-info 0.3.0-1
lib32-libdrm 2.4.131-1
lib32-libelf 0.194-1
lib32-libepoxy 1.5.10-2
lib32-libffi 3.5.2-1
lib32-libgcrypt 1.12.1-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.59-1
lib32-libgudev 238-3
lib32-libice 1.1.1-2
lib32-libidn2 2.3.8-1
lib32-libjpeg-turbo 3.1.3-1
lib32-libldap 2.6.13-1
lib32-libnghttp2 1.68.1-1
lib32-libnghttp3 1.15.0-1
lib32-libngtcp2 1.21.0-1
lib32-libnl 3.12.0-1
lib32-libnm 1.56.0-1
lib32-libnsl 2.0.1-1
lib32-libpcap 1.10.6-1
lib32-libpciaccess 0.19-1
lib32-libpipewire 1:1.6.2-1
lib32-libpng 1.6.55-1
lib32-libpsl 0.21.5-1
lib32-librsvg 2:2.61.4-1
lib32-libsm 1.2.6-1
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.21.0-1
lib32-libthai 0.1.29-3
lib32-libtiff 4.7.1-1
lib32-libtirpc 1.3.7-1
lib32-libunistring 1.3-1
lib32-libunwind 1.8.2-1
lib32-libva 2.22.0-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcomposite 0.4.7-1
lib32-libxcrypt 4.5.2-1
lib32-libxcrypt-compat 4.5.2-1
lib32-libxcursor 1.2.3-1
lib32-libxdamage 1.1.7-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxfixes 6.0.1-2
lib32-libxft 2.3.8-2
lib32-libxi 1.8.2-1
lib32-libxinerama 1.1.6-1
lib32-libxkbcommon 1.13.1-1
lib32-libxml2 2.15.2-1
lib32-libxmu 1.3.1-1
lib32-libxrandr 1.5.5-1
lib32-libxrender 0.9.11-2
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.4-2
lib32-libxt 1.3.1-1
lib32-libxtst 1.2.5-2
lib32-libxv 1.0.12-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:22.1.1-1
lib32-lm_sensors 1:3.6.2-2
lib32-mangohud 0.8.2-1
lib32-mesa 2:26.0.3-2
lib32-mpg123 1.33.4-1
lib32-ncurses 6.6-2
lib32-nettle 3.10.2-1
lib32-nspr 4.38.2-1
lib32-nss 3.122-1
lib32-ocl-icd 2.3.3-1
lib32-openal 1.25.1-1
lib32-openssl 1:3.6.1-1
lib32-orc 0.4.42-1
lib32-p11-kit 0.26.2-1
lib32-pam 1.7.1-1
lib32-pango 1:1.57.0-2
lib32-pcre2 10.47-1
lib32-pipewire 1:1.6.2-1
lib32-pixman 0.46.4-1
lib32-spirv-tools 1:1.4.341.0-1
lib32-sqlite 3.52.0-1
lib32-systemd 260.1-1
lib32-util-linux 2.41.3-1
lib32-vulkan-icd-loader 1.4.341.0-1
lib32-vulkan-intel 2:26.0.3-2
lib32-vulkan-mesa-implicit-layers 2:26.0.3-2
lib32-vulkan-radeon 2:26.0.3-2
lib32-wayland 1.24.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.2-1
lib32-zlib 1.3.2-1
lib32-zstd 1.5.7-2
libaccounts-glib 1.27-3.1
libaccounts-qt 1.17-2.1
libadwaita 1:1.8.4-1.1
libaemu 0.1.2-5.1
libaio 0.3.113-3.1
libarchive 3.8.6-1.1
libasan 15.2.1+r604+g0b99615a8aef-2
libass 0.17.4-1.1
libassuan 3.0.0-1.1
libasyncns 1:0.8+r3+g68cd5af-3.2
libatasmart 0.19-8.1
libatomic 15.2.1+r604+g0b99615a8aef-2
libavc1394 0.5.4-7.1
libavif 1.4.1-1.1
libayatana-appindicator 0.5.94-1.1
libayatana-indicator 0.9.4-1.1
libb2 0.98.1-3.1
libblockdev 3.4.0-3.1
libblockdev-crypto 3.4.0-3.1
libblockdev-fs 3.4.0-3.1
libblockdev-loop 3.4.0-3.1
libblockdev-mdraid 3.4.0-3.1
libblockdev-nvme 3.4.0-3.1
libblockdev-part 3.4.0-3.1
libblockdev-smart 3.4.0-3.1
libblockdev-swap 3.4.0-3.1
libbluray 1.4.1-1.1
libbpf 1.6.2-1.1
libbs2b 3.1.0-10.1
libbsd 0.12.2-2.1
libbytesize 2.12-3.1
libcacard 2.8.1-1.1
libcanberra 1:0.30+r2+gc0620e4-6.1
libcap 2.77-1.1
libcap-ng 0.9.1-1.1
libcbor 0.12.0-1.2
libcdio 2.3.0-1.1
libcdio-paranoia 10.2+2.0.2-2.1
libcloudproviders 0.4.0-1.1
libcolord 1.4.8-1
libcups 2:2.4.16-2
libcupsfilters 2.1.1-4.1
libdaemon 0.14-6.1
libdatrie 0.2.14-1.1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdc1394 2.2.7-2.1
